species,age,count
domestic-cat,34,4
other,27,56
other-bird,27,3
wolf,19,235
grey-fox,19,31
coyote,19,20
domestic-cat,19,79
weasel,19,7
hyena,19,17
wolf,29,38
coyote,29,7
lizard,29,4
other-bear,29,1
rat,29,4
other,29,30
other-primate,29,1
hyena,29,2
wolf,24,90
red-fox,40,3
husky,17,65
other-dog,17,30
other,17,130
red-fox,19,127
arctic-fox,19,42
german-shep,19,18
husky,19,57
tiger,19,56
lion,19,31
other-feline,19,46
dragon,19,106
skunk,19,18
red-panda,19,14
polar-bear,19,7
other,19,195
raptor,19,16
other-bird,19,13
kangaroo,19,15
griffin,19,14
domestic-cat,16,57
other-feline,16,15
other,16,109
panther,17,17
arctic-fox,16,38
squirrel,15,5
cougar,37,2
wolf,14,71
husky,14,21
wolf,20,186
german-shep,20,15
red-fox,22,54
red-fox,30,13
other-dog,20,40
deer,20,14
other,20,153
red-fox,18,98
arctic-fox,18,45
leopard,18,23
river-otter,18,17
sea-otter,18,9
rabbit,18,28
raven,17,16
raptor,17,14
other-bird,17,14
rabbit,17,31
other-fox,15,19
raccoon,15,13
other,15,64
other-fox,19,44
domestic-cat,13,7
domestic-cat,14,26
wolf,25,81
other-reptile,,8
other,,43
weasel,30,2
brown-bear,30,1
rat,30,1
coyote,36,4
dragon,18,82
wolf,22,114
horse,15,6
other-fox,20,34
kitsune,37,2
tiger,18,46
other-fox,23,18
other,23,106
dragon,21,96
red-fox,17,101
other-fox,26,18
squirrel,26,4
other,26,70
kangaroo,26,8
wolf,23,98
tiger,23,38
hyena,25,9
husky,23,24
raven,32,1
kangaroo,32,3
wolf,26,67
panther,23,8
weasel,27,6
other-mustelid,27,4
other-dog,48,2
cougar,48,1
other,48,5
other-dog,30,3
leopard,30,6
cheetah,30,2
other,30,22
river-otter,22,9
lion,24,18
leopard,28,8
domestic-cat,30,3
mouse,30,4
other-fox,18,50
other,18,182
wolf,31,11
tiger,31,7
lion,31,6
lizard,19,11
brown-bear,20,5
domestic-cat,27,15
river-otter,23,14
husky,24,22
lion,37,4
horse,26,7
rabbit,26,16
other-dog,21,28
other,21,137
dragon,23,61
dragon,22,45
griffin,22,7
rat,22,4
bat,22,7
dragon,26,35
red-fox,23,42
raccoon,19,22
leopard,24,11
raven,24,9
tiger,30,7
lion,21,31
raven,37,2
other-fox,22,22
other,22,120
other-feline,42,5
other,42,7
arctic-fox,23,12
squirrel,23,10
raptor,23,7
leopard,22,12
domestic-cat,26,30
domestic-cat,21,53
dragon,39,5
river-otter,39,2
brown-bear,39,2
raccoon,25,9
husky,25,21
raven,25,4
dragon,34,5
domestic-cat,33,5
river-otter,33,2
lizard,24,5
horse,24,12
tiger,29,10
other-fox,17,36
cheetah,36,2
cougar,36,2
other-feline,36,5
other,36,13
rabbit,36,4
othermarsupial,36,1
lion,25,12
grey-fox,24,7
domestic-cat,24,33
dragon,24,50
other,24,95
coyote,27,6
tiger,32,8
rat,24,4
rabbit,24,16
other-reptile,23,11
wolf,38,9
red-fox,38,1
river-otter,38,2
mouse,38,1
rat,38,1
squirrel,38,1
dinosaur,,4
panther,25,13
wolf,27,48
panther,31,2
dragon,31,10
dinosaur,24,7
raccoon,28,10
lion,23,19
domestic-cat,23,39
other-feline,23,24
kangaroo,25,5
raccoon,26,10
other-feline,32,3
other,32,18
husky,15,28
lion,18,30
