Year,Species,Age,SampleSize
2009,AnimalDomestic-cat,34,4
2009,AnimalOther,27,56
2009,AnimalOther-bird,27,3
2009,AnimalWolf,19,235
2009,AnimalGrey-fox,19,31
2009,AnimalCoyote,19,20
2009,AnimalDomestic-cat,19,79
2009,AnimalWeasel,19,7
2009,AnimalHyena,19,17
2009,AnimalWolf,29,38
2009,AnimalCoyote,29,7
2009,AnimalLizard,29,4
2009,AnimalOther-bear,29,1
2009,AnimalRat,29,4
2009,AnimalOther,29,30
2009,AnimalOther-primate,29,1
2009,AnimalHyena,29,2
2009,AnimalWolf,24,90
2009,AnimalRed-fox,40,3
2009,AnimalHusky,17,65
2009,AnimalOther-dog,17,30
2009,AnimalOther,17,130
2009,AnimalRed-fox,19,127
2009,AnimalArctic-fox,19,42
2009,AnimalGerman-shepherd,19,18
2009,AnimalHusky,19,57
2009,AnimalTiger,19,56
2009,AnimalLion,19,31
2009,AnimalOther-feline,19,46
2009,AnimalDragon,19,106
2009,AnimalSkunk,19,18
2009,AnimalRedpanda,19,14
2009,AnimalPolarbear,19,7
2009,AnimalOther,19,195
2009,AnimalRaptor,19,16
2009,AnimalOther-bird,19,13
2009,AnimalKangaroo,19,15
2009,AnimalGriffin,19,14
2009,AnimalDomestic-cat,16,57
2009,AnimalOther-feline,16,15
2009,AnimalOther,16,109
2009,AnimalPanther,17,17
2009,AnimalArctic-fox,16,38
2009,AnimalSquirrel,15,5
2009,AnimalCougar,37,2
2009,AnimalWolf,14,71
2009,AnimalHusky,14,21
2009,AnimalWolf,20,186
2009,AnimalGerman-shepherd,20,15
2009,AnimalRed-fox,22,54
2009,AnimalRed-fox,30,13
2009,AnimalOther-dog,20,40
2009,AnimalDeer,20,14
2009,AnimalOther,20,153
2009,AnimalRed-fox,18,98
2009,AnimalArctic-fox,18,45
2009,AnimalLeopard,18,23
2009,AnimalRiver-otter,18,17
2009,AnimalSea-otter,18,9
2009,AnimalRabbit,18,28
2009,AnimalRaven,17,16
2009,AnimalRaptor,17,14
2009,AnimalOther-bird,17,14
